Anhui,安徽省,913011,Hefei,合肥市,3288965
Anhui,安徽省,913011,Huainan City,淮南市,3262360
Anhui,安徽省,913011,Bengbu,蚌埠市,3262334
Anhui,安徽省,913011,Wuhu City,芜湖市,3262036
Anhui,安徽省,913011,Ma'anshan City,马鞍山市,3260816
Anhui,安徽省,913011,Fuyang City,阜阳市,3246004
Anhui,安徽省,913011,Bozhou City,亳州市,3245950
Anhui,安徽省,913011,Lu'an,六安市,3243393
Anhui,安徽省,913011,Huaibei City,淮北市,3231910
Anhui,安徽省,913011,Suzhou City,宿州市,3231858
Anhui,安徽省,913011,Chuzhou City,滁州市,3231588
Anhui,安徽省,913011,Xuancheng City,宣城市,3222248
Anhui,安徽省,913011,Anqing City,安庆市,3220387
Anhui,安徽省,913011,Chizhou City,池州市,3164669
Anhui,安徽省,913011,Tongling City,铜陵市,3077734
Anhui,安徽省,913011,Huangshan City,黄山市,2992498
Fujian,福建,553303,Longyan City,龙岩市,3144724
Fujian,福建,553303,Ningde City,宁德市,3277236
Fujian,福建,553303,Putian City,莆田市,3276849
Fujian,福建,553303,Fuzhou City,福州市,3263977
Fujian,福建,553303,Xiamen,厦门市,3242930
Fujian,福建,553303,Zhangzhou City,漳州市,3242122
Fujian,福建,553303,Nanping City,南平市,3206301
Fujian,福建,553303,Sanming City,三明市,3181479
Fujian,福建,553303,Quanzhou,泉州市,2666969
Gansu,甘肃省,153314,Baiyin City,白银市,2702854
Gansu,甘肃省,153314,Dingxi City,定西市,2701633
Gansu,甘肃省,153314,Gannan Tibetan Autonomous Prefecture,甘南藏族自治州,165639
Gansu,甘肃省,153314,Jiayuguan,嘉峪関市,165664
Gansu,甘肃省,153314,Jinchang,金昌市,2705765
Gansu,甘肃省,153314,Jiuquan,酒泉市,165655
Gansu,甘肃省,153314,Lanzhou,兰州市,2701949
Gansu,甘肃省,153314,Linxia Hui Autonomous Prefecture,临夏回族自治州,2697555
Gansu,甘肃省,153314,Longnan City,陇南市,2697126
Gansu,甘肃省,153314,Pingliang City,平凉市,2696771
Gansu,甘肃省,153314,Qingyang City,庆阳市,165866
Gansu,甘肃省,153314,Tianshui,天水市,2697305
Gansu,甘肃省,153314,Wuwei,武威市,165830
Gansu,甘肃省,153314,Zhangye,张掖市,165803
Guangdong,广东省,911844,Zhongshan City,中山,3464878
Guangdong,广东省,911844,Zhuhai,珠海,3464829
Guangdong,广东省,911844,Foshan City,佛山,3464719
Guangdong,广东省,911844,Shenzhen,深圳市,3464353
Guangdong,广东省,911844,Dongguan City,东莞市,3464319
Guangdong,广东省,911844,Huizhou City,惠州市,3209912
Guangdong,广东省,911844,Jiangmen City,江门,3463901
Guangdong,广东省,911844,Guangzhou City,广州,3287346
Guangdong,广东省,911844,Shantou,汕头市,3282750
Guangdong,广东省,911844,Shanwei,汕尾市,3282610
Guangdong,广东省,911844,Maoming City,茂名市,2689018
Guangdong,广东省,911844,Chaozhou,潮州市,3244431
Guangdong,广东省,911844,Heyuan City,河源市,3241970
Guangdong,广东省,911844,Meizhou,梅州市,3233743
Guangdong,广东省,911844,Zhaoqing City,肇庆市,3205802
Guangdong,广东省,911844,Shaoguan City,韶関市,3203994
Guangdong,广东省,911844,Qingyuan City,清远市,3124223
Guangdong,广东省,911844,Yangjiang City,阳江市,3032037
Guangdong,广东省,911844,Zhanjiang City,湛江市,3484419
Guangdong,广东省,911844,Jieyang City,揭阳市,3282749
Guangdong,广东省,911844,Yunfu City,云浮市,3032080
Guizhou,贵州省,286937,Anshun City,安阳市,2782250
Guizhou,贵州省,286937,Guiyang City,贵阳市,2782246
Guizhou,贵州省,286937,Qianxinan Buyei and Miao Autonomous Prefecture,黔西南布依族苗族自治州,2781292
Guizhou,贵州省,286937,Liupanshui City,六盘水市,2780191
Guizhou,贵州省,286937,Bijie City,毕节市,2780074
Guizhou,贵州省,286937,Tongren City,铜仁市,2778223
Guizhou,贵州省,286937,Zunyi City,遵义市,2778812
Guizhou,贵州省,286937,Qiandongnan Miao and Dong Autonomous Prefecture,黔东南苗族侗族自治州,2777847
Guizhou,贵州省,286937,Qiannan Buyei and Miao Autonomous Prefecture,黔南布依族苗族自治州,2777425
Hainan,海南,2128285,Haikou City,海口市,2784613
Hainan,海南,2128285,Sansha,三沙,2833102
Hainan,海南,2128285,Sanya City,三亚市,2128284
Hainan,海南,2128285,Baisha Li Autonomous County,白沙黎族自治县,2784606
Hainan,海南,2128285,Baoting Li and Miao Autonomous County,保亭黎族苗族自治县,2784607
Hainan,海南,2128285,Changjiang Li Autonomous County,昌江黎族自治县,2784608
Hainan,海南,2128285,Chengmai County,澄迈县,2784609
